Company Name,Website URL,Type,State,Revenue,EIN,NTEE Code,Slug,Confidence
The Impact Investing Foundation,,foundation,NY,0,261496920,T20,the-impact-investing-foundation,medium
Impact Investing Charitable Foundation Inc,,foundation,KS,0,473574130,T30,impact-investing-charitable-foundation-inc,medium
Silicon Valley Social Venture Fund,,impact-fund,CA,0,510644783,T30,silicon-valley-social-venture-fund,medium
Vista Ventures Social Impact Fund,,impact-fund,CA,0,812776349,Q32,vista-ventures-social-impact-fund,medium
Social Justice Fund For Ventura County,,impact-fund,CA,0,462569938,R12,social-justice-fund-for-ventura-county,medium
Community Development Foundation,,foundation,MS,0,640256085,,community-development-foundation,medium
Community Development Foundation,,foundation,NC,0,264731595,A01,community-development-foundation,medium
Community Development Foundation,,foundation,NJ,0,320193292,B99,community-development-foundation,medium
Community Development Foundation,,foundation,MI,0,393846390,S20,community-development-foundation,medium
Community Development Foundation Inc,,foundation,LA,0,721280674,E32Z,community-development-foundation-inc,medium
Beck Community Development Foundation,,foundation,TX,0,743237285,Q33,beck-community-development-foundation,medium
Nazarene Community Development Foundation,,foundation,NJ,0,453041236,X20,nazarene-community-development-foundation,medium
Nuiqsut Community Development Foundation,,foundation,AK,0,843215012,S20,nuiqsut-community-development-foundation,medium
Upavim Community Development Foundation,,foundation,TX,0,680558209,T30,upavim-community-development-foundation,medium
Palmland Community Development Foundation,,foundation,SC,0,43742788,L21,palmland-community-development-foundation,medium
Triumph Community Development Foundation,,foundation,TN,0,821241514,T20,triumph-community-development-foundation,medium
Community Development Foundation Inc,,foundation,AL,0,631252587,S30,community-development-foundation-inc,medium
Community Bridges Development Foundation,,foundation,AZ,0,201678924,P112,community-bridges-development-foundation,medium
Moretta Community Development Foundation,,foundation,CA,0,473314714,S30,moretta-community-development-foundation,medium
Hartsville Community Development Foundation,,foundation,SC,0,455330192,S30,hartsville-community-development-foundation,medium
Mellette Community Development Foundation,,foundation,SD,0,472827192,P20,mellette-community-development-foundation,medium
Ndifo Community Development Foundation,,foundation,CA,0,992860543,S20,ndifo-community-development-foundation,medium
Evergreen Community Development Foundation,,foundation,WA,0,261088317,S30,evergreen-community-development-foundation,medium
Madrone Community Development Foundation,,foundation,CA,0,874391708,S20,madrone-community-development-foundation,medium
Genesis Community Development Foundation,,foundation,TX,0,465448950,B12,genesis-community-development-foundation,medium
Steelton Community Development Foundation,,foundation,PA,0,251819480,S123,steelton-community-development-foundation,medium
International Community Development Foundation,,foundation,NY,0,522050450,Q99Z,international-community-development-foundation,medium
Beckville Community Development Foundation,,foundation,TX,0,752246953,N32,beckville-community-development-foundation,medium
Capote Community Development Foundation,,foundation,TX,0,471281524,S20,capote-community-development-foundation,medium
Cathedral Community Development Foundation,,foundation,NY,0,852867714,L20,cathedral-community-development-foundation,medium
Cct Community Development Foundation,,foundation,MT,0,874839471,W20,cct-community-development-foundation,medium
Community Development Foundation Inc,,foundation,MD,0,821610061,P20,community-development-foundation-inc,medium
Community Development Support Foundation,,foundation,NY,0,471913307,S50,community-development-support-foundation,medium
Community Health Development Foundation,,foundation,NE,0,851566776,E21,community-health-development-foundation,medium
Community Partnership Development Foundation,,foundation,AR,0,731371092,B64B,community-partnership-development-foundation,medium
Coppell Community Development Foundation,,foundation,TX,0,721615080,B82,coppell-community-development-foundation,medium
Gooden Community Development Foundation,,foundation,TX,0,300954277,P20,gooden-community-development-foundation,medium
Iftiin Community Development Foundation,,foundation,MN,0,384280963,O51,iftiin-community-development-foundation,medium
Intermountain Community Development Foundation,,foundation,MT,0,883163557,T01,intermountain-community-development-foundation,medium
Larkins Community Development Foundation,,foundation,WA,0,880826412,T30,larkins-community-development-foundation,medium
Latino Community Development Foundation,,foundation,CA,0,264120760,P20,latino-community-development-foundation,medium
Livingston Community Development Foundation,,foundation,TX,0,882967148,T20,livingston-community-development-foundation,medium
Sandhills Community Development Foundation,,foundation,SC,0,825507274,K30,sandhills-community-development-foundation,medium
Stigler Community Development Foundation,,foundation,OK,0,731445272,S01,stigler-community-development-foundation,medium
Summit Community Development Foundation,,foundation,MS,0,460759725,S99,summit-community-development-foundation,medium
Atkins Community Development Foundation,,foundation,TN,0,301051863,B60,atkins-community-development-foundation,medium
Community Outreach & Development Foundation,,foundation,SC,0,273716951,S01,community-outreach-development-foundation,medium
Csg Community Development Foundation,,foundation,NC,0,851842473,S21,csg-community-development-foundation,medium
Heal Community Development Foundation,,foundation,NY,0,813513471,O50,heal-community-development-foundation,medium
Impact Community Development Foundation,,foundation,LA,0,863128089,S20,impact-community-development-foundation,medium
Kuleana Community Development Foundation,,foundation,HI,0,993486002,S20,kuleana-community-development-foundation,medium
Laia Community Development Foundation,,foundation,TX,0,413151709,P20,laia-community-development-foundation,medium
